CUE #/NAME (symbol),TAKE # (Int),A VID # (int),A POS % (float),A SPEED (float),A ZOOM (float),A FLIP (int),A DB (float),A PRESERVE PITCH (int),B VID # (int),B POS % (float),B SPEED (float),B ZOOM (float),B FLIP (int),B DB (float),B PRESERVE PITCH (int),C VID # (int),C POS % (float),C SPEED (float),C ZOOM (float),C FLIP (int),C DB (float),C PRESERVE PITCH (int),D VID # (int),D POS % (float),D SPEED (float),D ZOOM (float),D FLIP (int),D DB (float),D PRESERVE PITCH (int),E VID # (int),E POS % (float),E SPEED (float),E ZOOM (float),E FLIP (int),E DB (float),E PRESERVE PITCH (int),SCRIPT POS (symbol),REH CAM POS (symbol),DATE (symbol),LIZ LIKED? (symbol),COMMENTS (symbol),AUDIO MATRIX STATE (list),GLOBAL RW/FF SPEED (float)
30,1,3,3.8399999141693115,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,and ultimately such a fool, , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 1 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
45,1,3,50.349998474121094,1 0,100,1,0,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n, ,s,s,s,s,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 1 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
75,1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,4,50.3100013733,1,0,n,0,n,n,n,n,n,n,n,n,Q: culture for which he stands GO, , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 0 2 1 0 3 1 1 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
55,1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5,30.3799991608,1,0,0,0,n,n,n,n,n,n,n,n,Jill: ..england is still the land of ancestral status and prestige, , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 0 2 1 0 3 1 1 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
60,1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,4,65.7799987793,1,0,n,0,n,n,n,n,n,n,n,n, , , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 0 2 1 0 3 1 1 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
62,1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5,33.2200012207,1,0,n,0,n,n,n,n,n,n,n,n, , , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 0 2 1 0 3 1 1 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
80,1,5,81.94000244140625,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n, , , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
47,1,n,n,n,n,n,n,n,1,87.43000030517578,1 0,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,BRINGS MAIDSTONE IN B,s,s,s,s,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 1 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 1 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
85,1,4,51.060001373291016,1 0,100,1,0,n,0,0,0 0,0,0,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,RUTH MANDEL,s,s,s,s,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
52,1,5,72.27999877929688,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n, , , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
